N,F/P,P/F,F/A,P/A,A/F,A/P
1,1.0300,0.9709,1.0000,0.9709,1.0000,1.0300
2,1.0609,0.9426,2.0300,1.9135,0.4926,0.5226
3,1.0927,0.9151,3.0909,2.8286,0.3235,0.3535
4,1.1255,0.8885,4.1836,3.7171,0.2390,0.2690
5,1.1593,0.8626,5.3091,4.5797,0.1884,0.2184
6,1.1941,0.8375,6.4684,5.4172,0.1546,0.1846
7,1.2299,0.8131,7.6625,6.2303,0.1305,0.1605
8,1.2668,0.7894,8.8923,7.0197,0.1125,0.1425
9,1.3048,0.7664,10.1591,7.7861,0.0984,0.1284
10,1.3439,0.7441,11.4639,8.5302,0.0872,0.1172
11,1.3842,0.7224,12.8078,9.2526,0.0781,0.1081
12,1.4258,0.7014,14.1920,9.9540,0.0705,0.1005
13,1.4685,0.6810,15.6178,10.6350,0.0640,0.0940
14,1.5126,0.6611,17.0863,11.2961,0.0585,0.0885
15,1.5580,0.6419,18.5989,11.9379,0.0538,0.0838
16,1.6047,0.6232,20.1569,12.5611,0.0496,0.0796
17,1.6528,0.6050,21.7616,13.1661,0.0460,0.0760
18,1.7024,0.5874,23.4144,13.7535,0.0427,0.0727
19,1.7535,0.5703,25.1169,14.3238,0.0398,0.0698
20,1.8061,0.5537,26.8704,14.8775,0.0372,0.0672
21,1.8603,0.5375,28.6765,15.4150,0.0349,0.0649
22,1.9161,0.5219,30.5368,15.9369,0.0327,0.0627
23,1.9736,0.5067,32.4529,16.4436,0.0308,0.0608
24,2.0328,0.4919,34.4265,16.9355,0.0290,0.0590
25,2.0938,0.4776,36.4593,17.4131,0.0274,0.0574
