N,F/P,P/F,F/A,P/A,A/F,A/P
1,1.0050,0.9950,1.0000,0.9950,1.0000,1.0050
2,1.0100,0.9901,2.0050,1.9851,0.4988,0.5038
3,1.0151,0.9851,3.0150,2.9702,0.3317,0.3367
4,1.0202,0.9802,4.0301,3.9505,0.2481,0.2531
5,1.0253,0.9754,5.0503,4.9259,0.1980,0.2030
6,1.0304,0.9705,6.0755,5.8964,0.1646,0.1696
7,1.0355,0.9657,7.1059,6.8621,0.1407,0.1457
8,1.0407,0.9609,8.1414,7.8230,0.1228,0.1278
9,1.0459,0.9561,9.1821,8.7791,0.1089,0.1139
10,1.0511,0.9513,10.2280,9.7304,0.0978,0.1028
11,1.0564,0.9466,11.2792,10.6770,0.0887,0.0937
12,1.0617,0.9419,12.3356,11.6189,0.0811,0.0861
13,1.0670,0.9372,13.3972,12.5562,0.0746,0.0796
14,1.0723,0.9326,14.4642,13.4887,0.0691,0.0741
15,1.0777,0.9279,15.5365,14.4166,0.0644,0.0694
16,1.0831,0.9233,16.6142,15.3399,0.0602,0.0652
17,1.0885,0.9187,17.6973,16.2586,0.0565,0.0615
18,1.0939,0.9141,18.7858,17.1728,0.0532,0.0582
19,1.0994,0.9096,19.8797,18.0824,0.0503,0.0553
20,1.1049,0.9051,20.9791,18.9874,0.0477,0.0527
21,1.1104,0.9006,22.0840,19.8880,0.0453,0.0503
22,1.1160,0.8961,23.1944,20.7841,0.0431,0.0481
23,1.1216,0.8916,24.3104,21.6757,0.0411,0.0461
24,1.1272,0.8872,25.4320,22.5629,0.0393,0.0443
25,1.1328,0.8828,26.5591,23.4456,0.0377,0.0427
