"N,F/P,P/F,P/A,A/F,A/P, 
1,1.2500,0.8000,1.0000,0.8000,1.0000,1.2500,
2,1.5625,0.6400,2.2500,1.4400,0.4444,0.6944,
3,1.9531,0.5120,3.8125,1.9520,0.2623,0.5123,
4,2.4414,0.4096,5.7656,2.3616,0.1734,0.4234,
5,3.0518,0.3277,8.2070,2.6893,0.1218,0.3718,
6,3.8147,0.2621,11.2588,2.9514,0.0888,0.3388,
7,4.7684,0.2097,15.0735,3.1611,0.0663,0.3163,
8,5.9605,0.1678,19.8419,3.3289,0.0504,0.3004,
9,7.4506,0.1342,25.8023,3.4631,0.0388,0.2888,
10,9.3132,0.1074,33.2529,3.5705,0.0301,0.2801,
11,11.6415,0.0859,42.5661,3.6564,0.0235,0.2735,
12,14.5519,0.0687,54.2077,3.7251,0.0184,0.2684,
13,18.1899,0.0550,68.7596,3.7801,0.0145,0.2645,
14,22.7374,0.0440,86.9495,3.8241,0.0115,0.2615,
15,28.4217,0.0352,109.6868,3.8593,0.0091,0.2591,
16,35.5271,0.0281,138.1085,3.8874,0.0072,0.2572,
17,44.4089,0.0225,173.6357,3.9099,0.0058,0.2558,
18,55.5112,0.0180,218.0446,3.9279,0.0046,0.2546,
19,69.3889,0.0144,273.5558,3.9424,0.0037,0.2537,
20,86.7362,0.0115,342.9447,3.9539,0.0029,0.2529,
21,108.4202,0.0092,429.6809,3.9631,0.0023,0.2523,
22,135.5253,0.0074,538.1011,3.9705,0.0019,0.2519,
23,169.4066,0.0059,673.6264,3.9764,0.0015,0.2515,
24,211.7582,0.0047,843.0329,3.9811,0.0012,0.2512,
25,264.6978,0.0038,1054.7912,3.9849,0.0009,0.2509,"
