"N,F/P,P/F,P/A,A/F,A/P, 
1,1.0900,0.9174,1.0000,0.9174,1.0000,1.0900,
2,1.1881,0.8417,2.0900,1.7591,0.4785,0.5685,
3,1.2950,0.7722,3.2781,2.5313,0.3051,0.3951,
4,1.4116,0.7084,4.5731,3.2397,0.2187,0.3087,
5,1.5386,0.6499,5.9847,3.8897,0.1671,0.2571,
6,1.6771,0.5963,7.5233,4.4859,0.1329,0.2229,
7,1.8280,0.5470,9.2004,5.0330,0.1087,0.1987,
8,1.9926,0.5019,11.0285,5.5348,0.0907,0.1807,
9,2.1719,0.4604,13.0210,5.9952,0.0768,0.1668,
10,2.3674,0.4224,15.1929,6.4177,0.0658,0.1558,
11,2.5804,0.3875,17.5603,6.8052,0.0569,0.1469,
12,2.8127,0.3555,20.1407,7.1607,0.0497,0.1397,
13,3.0658,0.3262,22.9534,7.4869,0.0436,0.1336,
14,3.3417,0.2992,26.0192,7.7862,0.0384,0.1284,
15,3.6425,0.2745,29.3609,8.0607,0.0341,0.1241,
16,3.9703,0.2519,33.0034,8.3126,0.0303,0.1203,
17,4.3276,0.2311,36.9737,8.5436,0.0270,0.1170,
18,4.7171,0.2120,41.3013,8.7556,0.0242,0.1142,
19,5.1417,0.1945,46.0185,8.9501,0.0217,0.1117,
20,5.6044,0.1784,51.1601,9.1285,0.0195,0.1095,
21,6.1088,0.1637,56.7645,9.2922,0.0176,0.1076,
22,6.6586,0.1502,62.8733,9.4424,0.0159,0.1059,
23,7.2579,0.1378,69.5319,9.5802,0.0144,0.1044,
24,7.9111,0.1264,76.7898,9.7066,0.0130,0.1030,
25,8.6231,0.1160,84.7009,9.8226,0.0118,0.1018,"
