N,F/P,P/F,F/A,P/A,A/F,A/P
1,1.0100,0.9901,1.0000,0.9901,1.0000,1.0100
2,1.0201,0.9803,2.0100,1.9704,0.4975,0.5075
3,1.0303,0.9706,3.0301,2.9410,0.3300,0.3400
4,1.0406,0.9610,4.0604,3.9020,0.2463,0.2563
5,1.0510,0.9515,5.1010,4.8534,0.1960,0.2060
6,1.0615,0.9420,6.1520,5.7955,0.1625,0.1725
7,1.0721,0.9327,7.2135,6.7282,0.1386,0.1486
8,1.0829,0.9235,8.2857,7.6517,0.1207,0.1307
9,1.0937,0.9143,9.3685,8.5660,0.1067,0.1167
10,1.1046,0.9053,10.4622,9.4713,0.0956,0.1056
11,1.1157,0.8963,11.5668,10.3676,0.0865,0.0965
12,1.1268,0.8874,12.6825,11.2551,0.0788,0.0888
13,1.1381,0.8787,13.8093,12.1337,0.0724,0.0824
14,1.1495,0.8700,14.9474,13.0037,0.0669,0.0769
15,1.1610,0.8613,16.0969,13.8651,0.0621,0.0721
16,1.1726,0.8528,17.2579,14.7179,0.0579,0.0679
17,1.1843,0.8444,18.4304,15.5623,0.0543,0.0643
18,1.1961,0.8360,19.6147,16.3983,0.0510,0.0610
19,1.2081,0.8277,20.8109,17.2260,0.0481,0.0581
20,1.2202,0.8195,22.0190,18.0456,0.0454,0.0554
21,1.2324,0.8114,23.2392,18.8570,0.0430,0.0530
22,1.2447,0.8034,24.4716,19.6604,0.0409,0.0509
23,1.2572,0.7954,25.7163,20.4558,0.0389,0.0489
24,1.2697,0.7876,26.9734,21.2434,0.0371,0.0471
25,1.2824,0.7798,28.2432,22.0232,0.0354,0.0454
